species,concentration,type
y_1,38.3413941720837,observed
y_1,8.59697272618145,observed
y_1,11.5594317617688,observed
y_1,31.1979342682839,observed
y_1,15.7760767238456,observed
y_1,10.9445352940804,observed
y_1,23.1002237235742,observed
y_1,12.3243939078207,observed
y_1,10.711505352601,observed
y_1,25.960715270516,observed
y_1,18.8254736269165,observed
y_1,13.0298423077217,observed
y_1,24.4888856753811,observed
y_1,22.0637144163047,observed
y_1,15.4360560698184,observed
y_1,11.0946237886722,observed
y_1,13.9289625924783,observed
y_1,28.828942641624,observed
y_1,15.6721340625806,observed
y_1,19.3636518293679,observed
y_1,28.2871664996421,observed
y_1,18.2818872184788,observed
y_1,11.1333135079434,observed
y_1,14.4243172622362,observed
y_1,41.9259979053074,observed
y_1,15.0618842902881,observed
y_1,4.27666025506079,observed
y_1,35.31734340923,observed
y_1,7.21188296284949,observed
y_1,12.6731004355325,observed
y_1,13.382189652566,observed
y_1,25.0967745273523,observed
y_1,11.7465937653024,observed
y_1,11.511145436516,observed
y_1,27.5346334184951,observed
y_1,14.38127141336,observed
y_1,14.8322760153933,observed
y_1,7.64208143590927,observed
y_1,27.5380824119541,observed
y_1,22.0247503066784,observed
y_1,16.3726287395368,observed
y_1,15.2487929136444,observed
y_1,19.7053575912001,observed
y_1,5.95931212474378,observed
y_1,15.3579271933878,observed
y_1,19.0468317321499,observed
y_1,11.3447438742787,observed
y_1,41.8484820089968,observed
y_1,10.9785606581341,observed
y_1,32.4701382182475,observed
y_1,13.1951271296392,observed
y_1,34.5712886497385,observed
y_1,15.4860107853918,observed
y_1,8.61286503867457,observed
y_1,12.2544186047809,observed
y_1,26.4059361096646,observed
y_1,12.1916895627038,observed
y_1,14.7759825209089,observed
y_1,9.38604075923002,observed
y_1,20.833161635614,observed
y_1,13.5785034978217,observed
y_1,40.5725537424333,observed
y_1,11.4727129127978,observed
y_1,29.1157466802919,observed
y_1,15.7597208209572,observed
y_1,14.1672769057063,observed
y_1,21.075971131523,observed
y_1,18.247748033152,observed
y_1,13.7550721954402,observed
y_1,5.01741595317888,observed
y_1,31.2046234884989,observed
y_1,18.3467230298202,observed
y_1,16.6789864885687,observed
y_1,11.453276600192,observed
y_1,16.5976243173969,observed
y_1,10.8074293906491,observed
y_1,35.5008015275306,observed
y_1,13.7200049868439,observed
y_1,5.71591117442618,observed
y_1,32.2968741168314,observed
y_1,18.5608871976081,observed
y_1,8.27860218088067,observed
y_1,30.0883571131917,observed
y_1,15.7416988458082,observed
y_1,37.0005003054076,observed
y_1,15.7746422668067,observed
y_1,14.1004773782452,observed
y_1,41.167879496203,observed
y_1,0.57605608836756,observed
y_1,5.02861651341066,observed
y_1,10.4160201151854,observed
y_1,24.2331517947453,observed
y_1,13.5786168031898,observed
y_1,21.7312920793583,observed
y_1,13.5335575774887,observed
y_1,6.9638868729479,observed
y_1,33.8761024377652,observed
y_1,16.1950102350838,observed
y_1,8.41889142133104,observed
y_1,9.08303175662996,observed
y_1,24.6575145783908,observed
y_1,25.6848857572518,observed
y_1,13.5002723722407,observed
y_1,16.5645238368596,observed
y_1,18.4007628683982,observed
y_1,16.7152386792756,observed
y_1,24.4962053197788,observed
y_1,8.32698259569798,observed
y_1,29.7125265319251,observed
y_1,15.7938697584281,observed
y_1,15.6732725068023,observed
y_1,29.9863252488126,observed
y_1,8.6452731747384,observed
y_1,11.6814291322417,observed
y_1,1.84504410472423,observed
y_1,38.876256796095,observed
y_1,21.3853089435162,observed
y_1,20.5217555427525,observed
y_1,32.1589610263916,observed
y_1,8.62962979513943,observed
y_1,24.7359095091284,observed
y_1,15.564150529298,observed
y_1,9.78593498277062,observed
y_1,27.0407239451947,observed
y_1,4.96925168417473,observed
y_1,23.8308414112303,observed
y_1,16.9022256231094,observed
y_1,14.1780393193054,observed
y_1,29.7228097992106,observed
y_1,48.8872450308239,observed
y_1,12.496867445367,observed
y_1,5.57334014716412,observed
y_1,7.24412675691004,observed
y_1,12.6343164118295,observed
y_1,32.9543281461187,observed
y_1,10.0748364281687,observed
y_1,35.7864390179221,observed
y_1,13.81461468121,observed
y_1,41.2061331008673,observed
y_1,15.9999327298069,observed
y_1,5.37474374842614,observed
y_1,15.6839310727194,observed
y_1,9.20861785777867,observed
y_1,34.8855871744471,observed
y_1,24.8921009057697,observed
y_1,7.6854480163318,observed
y_1,25.2308554154301,observed
y_1,30.9783560744266,observed
y_1,14.3195134901792,observed
y_1,5.18408244900864,observed
y_1,34.2793789146506,observed
y_1,14.4038673718698,observed
y_1,20.7484639718288,observed
y_1,34.5495747038524,observed
y_1,13.4070982707753,observed
y_1,8.47522981707419,observed
y_1,15.5122096473604,observed
y_1,23.2946067835779,observed
y_1,19.29622763775,observed
y_1,13.0795126670587,observed
y_1,21.3610988549314,observed
y_1,21.9024471076142,observed
y_1,24.2340920120565,observed
y_1,12.1249682053309,observed
y_1,18.2485415211271,observed
y_1,6.03965779277063,observed
y_1,22.2905707428188,observed
y_1,16.1463278547703,observed
y_1,13.91069189465,observed
y_1,25.3670244673433,observed
y_1,19.7159331009695,observed
y_1,12.0749326240893,observed
y_1,42.8414728444025,observed
y_1,13.2520715706834,observed
y_1,12.2839485682936,observed
