"periodogram_df.freq","periodogram_df.power","peak_freq","peak_period"
0,1.36682404443804e-30,0.0666444518493835,15.005
0.0333222259246918,2.68691799411997,0.0666444518493835,15.005
0.0666444518493835,2.73622845768364,0.0666444518493835,15.005
0.0999666777740753,2.60994967531404,0.0666444518493835,15.005
0.133288903698767,2.40801688671197,0.0666444518493835,15.005
0.166611129623459,2.24465821596551,0.0666444518493835,15.005
0.199933355548151,2.44137596766797,0.0666444518493835,15.005
0.233255581472842,2.33107575871743,0.0666444518493835,15.005
0.266577807397534,1.4543134268055,0.0666444518493835,15.005
0.299900033322226,1.0863652182812,0.0666444518493835,15.005
0.333222259246918,0.877300540040648,0.0666444518493835,15.005
0.366544485171609,0.731373675039686,0.0666444518493835,15.005
0.399866711096301,0.624558891363405,0.0666444518493835,15.005
0.433188937020993,0.542279480271116,0.0666444518493835,15.005
0.466511162945685,0.469666194078232,0.0666444518493835,15.005
0.499833388870377,0.41179130578602,0.0666444518493835,15.005
0.533155614795068,0.365725796968302,0.0666444518493835,15.005
0.56647784071976,0.326440858655745,0.0666444518493835,15.005
0.599800066644452,0.294679733142278,0.0666444518493835,15.005
0.633122292569144,0.266837378762434,0.0666444518493835,15.005
0.666444518493835,0.242212397070168,0.0666444518493835,15.005
0.699766744418527,0.219922881826278,0.0666444518493835,15.005
0.733088970343219,0.201432531645921,0.0666444518493835,15.005
0.766411196267911,0.184524355425053,0.0666444518493835,15.005
0.799733422192602,0.169693283384146,0.0666444518493835,15.005
0.833055648117294,0.156610441974849,0.0666444518493835,15.005
0.866377874041986,0.144959300708986,0.0666444518493835,15.005
0.899700099966678,0.134794596967817,0.0666444518493835,15.005
0.933022325891369,0.1257869250758,0.0666444518493835,15.005
0.966344551816061,0.117430319231485,0.0666444518493835,15.005
0.999666777740753,0.110153431849281,0.0666444518493835,15.005
1.03298900366544,0.10318640009995,0.0666444518493835,15.005
1.06631122959014,0.0968705746677452,0.0666444518493835,15.005
1.09963345551483,0.0913263791651441,0.0666444518493835,15.005
1.13295568143952,0.0859593644638326,0.0666444518493835,15.005
1.16627790736421,0.0812002382001728,0.0666444518493835,15.005
1.1996001332889,0.0769574955997053,0.0666444518493835,15.005
