species,concentration,type
y_1,35.0230359545236,observed
y_1,29.1756985862301,observed
y_1,43.424121948833,observed
y_1,23.328076864767,observed
y_1,30.7647714725188,observed
y_1,72.733397354042,observed
y_1,24.3648594145931,observed
y_1,68.545082614881,observed
y_1,22.9690581385788,observed
y_1,33.1073895890181,observed
y_1,20.1062335743228,observed
y_1,27.8036617867055,observed
y_1,57.208130083954,observed
y_1,24.7935762093961,observed
y_1,61.3690513612554,observed
y_1,26.2895585230534,observed
y_1,31.3935048623594,observed
y_1,65.46566746805,observed
y_1,26.0256286843874,observed
y_1,18.371906789386,observed
y_1,36.8267395230313,observed
y_1,47.8771137448461,observed
y_1,49.0041718142755,observed
y_1,14.7250367002724,observed
y_1,43.8481901742858,observed
y_1,42.2899837229556,observed
y_1,46.6492672656683,observed
y_1,21.5290675584225,observed
y_1,34.4246638116931,observed
y_1,21.788901570083,observed
y_1,50.2656629299975,observed
y_1,36.8962123127224,observed
y_1,24.2865201503152,observed
y_1,55.1103102079801,observed
y_1,43.3152869471134,observed
y_1,31.3474306447026,observed
y_1,42.9287388562596,observed
y_1,19.7631943657842,observed
y_1,22.8471343677408,observed
y_1,55.4669372498553,observed
y_1,28.87762686127,observed
y_1,37.1205792379739,observed
y_1,26.1580420726713,observed
y_1,24.7807774336381,observed
y_1,37.7760872032202,observed
y_1,37.4158487852116,observed
y_1,9.88333449685735,observed
y_1,61.9344021745142,observed
y_1,53.8356302618094,observed
y_1,33.1418165259473,observed
y_1,27.5890786906553,observed
y_1,39.7791332260938,observed
y_1,25.9777344015759,observed
y_1,34.4364492922207,observed
y_1,21.3692137242256,observed
y_1,45.2456306959457,observed
y_1,46.8536885037085,observed
y_1,14.1709791740165,observed
y_1,24.9707943395263,observed
y_1,30.8191479803302,observed
y_1,56.810369043252,observed
y_1,55.1814591180488,observed
y_1,32.8070940763739,observed
y_1,16.3614272654858,observed
y_1,55.8349526085078,observed
y_1,19.5930139036896,observed
y_1,44.9123791349199,observed
y_1,56.2871458816929,observed
y_1,19.3022142469385,observed
y_1,24.389454914206,observed
y_1,29.0829989917845,observed
y_1,40.690807796238,observed
y_1,33.8579307633823,observed
y_1,23.3836006530729,observed
y_1,35.1847027501171,observed
y_1,35.9179057674464,observed
y_1,33.0902123864146,observed
y_1,19.1992462045452,observed
y_1,52.4226253938968,observed
y_1,81.6896622731135,observed
y_1,25.8344898097287,observed
y_1,19.0163335171734,observed
y_1,24.7558733598571,observed
y_1,60.0422602119881,observed
y_1,27.4880188764772,observed
y_1,52.6085823501433,observed
y_1,23.326612439857,observed
y_1,35.406831027178,observed
y_1,53.8404501131053,observed
y_1,26.5474552867137,observed
y_1,26.7351882019928,observed
y_1,29.4034210447542,observed
y_1,41.9096470401475,observed
y_1,35.1909291292551,observed
y_1,32.9005894684691,observed
y_1,16.6037115691676,observed
y_1,42.1073938615183,observed
y_1,35.9724671759801,observed
y_1,26.9797660549785,observed
y_1,25.9217856147156,observed
y_1,56.4133428493092,observed
y_1,45.51691352777,observed
y_1,12.8621229505263,observed
y_1,22.4362792359222,observed
y_1,45.3073099044173,observed
