species,concentration,type
y_1,39.3794211364101,mapped
y_1,25.6644127732377,mapped
y_1,26.981607227593,mapped
y_1,35.9838919887823,mapped
y_1,19.5918551920285,mapped
y_1,64.5278826038963,mapped
y_1,74.3335540991757,mapped
y_1,20.7311680299056,mapped
y_1,33.1311817398351,mapped
y_1,60.3219501544548,mapped
y_1,25.2405822084509,mapped
y_1,19.9064684169121,mapped
y_1,30.6554962814544,mapped
y_1,23.2211861450085,mapped
y_1,54.7723923792166,mapped
y_1,28.581791710022,mapped
y_1,19.7374053492604,mapped
y_1,41.3490801203784,mapped
y_1,27.1176909885169,mapped
y_1,52.3752434778674,mapped
y_1,26.0224058122779,mapped
y_1,68.1171869518224,mapped
y_1,18.5619145478178,mapped
y_1,30.216469143321,mapped
y_1,26.0903034045283,mapped
y_1,37.3587584478526,mapped
y_1,26.8902810579477,mapped
y_1,25.5674673913442,mapped
y_1,53.9810274426227,mapped
y_1,29.4235272415031,mapped
y_1,44.7979865958718,mapped
y_1,37.5396832558327,mapped
y_1,14.297297068729,mapped
y_1,18.0009479196194,mapped
y_1,38.5005432736301,mapped
y_1,91.441847565782,mapped
y_1,27.4059030693866,mapped
y_1,65.6344290975471,mapped
y_1,25.8867993569757,mapped
y_1,70.803281367257,mapped
y_1,50.5673687459427,mapped
y_1,11.667198441549,mapped
y_1,43.4791020528909,mapped
y_1,16.2506566761302,mapped
y_1,37.2634903731682,mapped
y_1,69.7633600518266,mapped
y_1,18.4731953601159,mapped
y_1,27.1437513275053,mapped
y_1,38.8752818443572,mapped
y_1,29.4284513017626,mapped
y_1,27.9200981315295,mapped
y_1,30.583202081743,mapped
y_1,21.5249900977934,mapped
y_1,58.4451691221738,mapped
y_1,30.4744528942665,mapped
y_1,25.4225329608969,mapped
y_1,51.6459909314982,mapped
y_1,65.8344738604928,mapped
y_1,16.4554732778057,mapped
y_1,31.9282096266503,mapped
y_1,51.7921823345805,mapped
y_1,27.1486421524136,mapped
y_1,27.3744078730329,mapped
y_1,51.8500602951031,mapped
y_1,29.9833241659566,mapped
y_1,19.6968907294725,mapped
y_1,25.6220541641527,mapped
y_1,47.1248987171974,mapped
y_1,28.3532888608636,mapped
y_1,69.5172526104549,mapped
y_1,29.8710890257102,mapped
y_1,22.1966788828223,mapped
y_1,29.4942113204414,mapped
y_1,30.5603434116437,mapped
y_1,37.6784712599472,mapped
y_1,41.2603991911859,mapped
y_1,26.2054378253076,mapped
y_1,26.8895189793155,mapped
y_1,37.3324581125023,mapped
y_1,58.0922754814597,mapped
y_1,19.5463414501876,mapped
y_1,39.7494179933298,mapped
y_1,17.2604795801348,mapped
y_1,71.6165369507759,mapped
y_1,61.9292703422346,mapped
y_1,15.528759920624,mapped
y_1,38.6654383745041,mapped
y_1,19.1580658248989,mapped
y_1,70.3213526987326,mapped
y_1,30.2338051855948,mapped
y_1,34.974721438409,mapped
y_1,21.1085149474075,mapped
y_1,36.7514107750981,mapped
y_1,64.9853723300716,mapped
y_1,21.1910675428822,mapped
y_1,24.6025518922468,mapped
y_1,48.6545807129045,mapped
y_1,44.3376179188869,mapped
y_1,17.6127306940297,mapped
y_1,25.3936003903565,mapped
y_1,22.0695686633538,mapped
y_1,75.3977177216811,mapped
y_1,39.8276907963343,mapped
y_1,18.8037658300255,mapped
y_1,44.5517477995941,mapped
y_1,29.3312067649403,mapped
y_1,23.2111283391352,mapped
y_1,58.8033664855811,mapped
y_1,25.8515388709242,mapped
y_1,38.7175114381148,mapped
y_1,30.040874340196,mapped
y_1,65.5155051593762,mapped
y_1,27.0312442152541,mapped
y_1,20.680795532755,mapped
y_1,25.3935552141646,mapped
y_1,26.9079089404909,mapped
y_1,55.9234484850875,mapped
y_1,17.2868429869028,mapped
y_1,35.7363606570265,mapped
y_1,46.8990405263509,mapped
y_1,31.2734085516819,mapped
y_1,23.7517641444278,mapped
y_1,54.5600830372933,mapped
y_1,69.677634642957,mapped
y_1,19.8579568332306,mapped
y_1,33.3842411630006,mapped
y_1,61.4963610610232,mapped
