"periodogram_df.freq","periodogram_df.power","peak_freq","peak_period"
0,8.47010990126402e-31,0.233255581472842,4.28714285714286
0.0333222259246918,0.622490572532014,0.233255581472842,4.28714285714286
0.0666444518493835,0.57509363854685,0.233255581472842,4.28714285714286
0.0999666777740753,0.679957605559755,0.233255581472842,4.28714285714286
0.133288903698767,1.06689257985763,0.233255581472842,4.28714285714286
0.166611129623459,2.36999331558137,0.233255581472842,4.28714285714286
0.199933355548151,7.28554138743611,0.233255581472842,4.28714285714286
0.233255581472842,9.88498776562558,0.233255581472842,4.28714285714286
0.266577807397534,3.05735078334584,0.233255581472842,4.28714285714286
0.299900033322226,1.08104110358795,0.233255581472842,4.28714285714286
0.333222259246918,0.566916040156239,0.233255581472842,4.28714285714286
0.366544485171609,0.401682390169854,0.233255581472842,4.28714285714286
0.399866711096301,0.359202583022195,0.233255581472842,4.28714285714286
0.433188937020993,0.324418912621354,0.233255581472842,4.28714285714286
0.466511162945685,0.229467748498826,0.233255581472842,4.28714285714286
0.499833388870377,0.158743437180176,0.233255581472842,4.28714285714286
0.533155614795068,0.117076387981113,0.233255581472842,4.28714285714286
0.56647784071976,0.0940959626560759,0.233255581472842,4.28714285714286
0.599800066644452,0.0776790575687519,0.233255581472842,4.28714285714286
0.633122292569144,0.0657626158251463,0.233255581472842,4.28714285714286
0.666444518493835,0.0576907187948805,0.233255581472842,4.28714285714286
0.699766744418527,0.0501243628457102,0.233255581472842,4.28714285714286
0.733088970343219,0.0445547386177967,0.233255581472842,4.28714285714286
0.766411196267911,0.0404143559839833,0.233255581472842,4.28714285714286
0.799733422192602,0.0362762206320433,0.233255581472842,4.28714285714286
0.833055648117294,0.0327893267711907,0.233255581472842,4.28714285714286
0.866377874041986,0.0297849990662641,0.233255581472842,4.28714285714286
0.899700099966678,0.0275659061880043,0.233255581472842,4.28714285714286
0.933022325891369,0.0257842923052755,0.233255581472842,4.28714285714286
0.966344551816061,0.0236190659092729,0.233255581472842,4.28714285714286
0.999666777740753,0.0219410847029082,0.233255581472842,4.28714285714286
1.03298900366544,0.0202116899320432,0.233255581472842,4.28714285714286
