0,0.01844503647001894
1,0.05730622338613287
2,0.09840080873308579
3,0.12788561159890882
4,0.14222348354634695
5,0.14142244438382115
6,0.1268189413606977
7,0.1024980122988383
8,0.07472663959696205
9,0.049328016581667355
10,0.02964537241304398
11,0.016319152854793875
12,0.008277460173081262
13,0.0038900358619225533
14,0.0017023179854947087
15,0.0006968000112279307
16,0.0002678551689102397
17,0.00009704601464454337
18,0.00003324626262871381
19,0.00001080085709528866
20,0.00000333630719756353
21,9.822078155762799e-7
22,2.7619488654305736e-7
23,7.433060240550927e-8
24,1.91802135210873e-8
25,4.753399275290714e-9
26,1.1331720595883643e-9
27,2.602280516894479e-10
28,5.76448619604894e-11
29,1.2332665968652783e-11
30,2.551225526837325e-12
31,5.108687681456876e-13
32,9.912473704870838e-14
33,1.865450155556318e-14
34,3.4080531378044716e-15
35,6.049506576192976e-16
36,1.0441758723820198e-16
37,1.7538715200937726e-17
38,2.8688326977968876e-18
39,4.572911721462226e-19
40,7.10791970796096e-20
41,1.078009215970265e-20
42,1.5962027691889833e-21
43,2.308780911753559e-22
44,3.263914821662945e-23
45,4.5120960375361e-24
46,6.10258154115176e-25
47,8.078818186820534e-26
48,1.0473113682839704e-26
49,1.3301000741906445e-27
50,1.6555893148539556e-28
51,2.020472457449421e-29
52,2.4185265289225924e-30
53,2.8405712407574754e-31
54,3.2746946644900654e-32
55,3.706756214850498e-33
56,4.121144236010851e-34
57,4.501732218675124e-35
58,4.8329496551253305e-36
59,5.100865318632681e-37
60,5.294175429946541e-38
61,5.4049978008003466e-39
62,5.4293944374436e-40
63,5.367576053750348e-41
64,5.2237778846584805e-42
65,5.005831936099626e-43
66,4.724491506652155e-44
67,4.392585710125838e-45
68,4.024092665127103e-46
69,3.6332196382755774e-47
70,3.233568025163302e-48
71,2.8374431703253883e-49
72,2.4553469014756904e-50
73,2.0956676269186724e-51
74,1.764561854584866e-52
75,1.4660042052289367e-53
76,1.2019716371518552e-54
77,9.72721963987442e-56
78,7.771263295831129e-57
79,6.1301905043602904e-58
80,4.775348057679491e-59
81,3.6741116873038767e-60
82,2.7924270530091236e-61
83,2.0968037453905643e-62
84,1.5557612962201607e-63
85,1.1407714971175094e-64
86,8.267700506011082e-66
87,5.923244548142754e-67
88,4.19546967923501e-68
89,2.9383488931450673e-69
90,2.0350852117627643e-70
91,1.3940286628066676e-71
92,9.445455768024506e-73
93,6.331219331787798e-74
94,4.1987019698005288e-75
95,2.755211586698232e-76
96,1.7891840820008887e-77
97,1.1499056578823217e-78
98,7.315137670524486e-80
99,4.606604903157934e-81
100,2.871982255428917e-82
